Job Title	Job_URL	EX_level_demand	Time_Limitation	Search_Keyword	Posted_from	Description	Category1_URL_search	Category_1	highlight	Category2_URL_search	Category_2	Category3_URL_search	Category_3	Category4_URL_search	Category_4	Category5_URL_search	Category_5	Category6_URL_search	Category_6	Category7_URL_search	Category_7	Category8_URL_search	Category_8	Category9_URL_search	Category_9	Applicants_Num	Payment_Situation	Enterprise_Client	Freelancers_Num	Spent($)	Client_Country	Connects_Num	New_Connects_Num	Rating	Feedback_Num	Payment_type	Job_Cost	Hourly_Rate	Start_rate	End_rate
Descarga e Interrelación entre Bases de Datos	https://www.upwork.com/jobs/Descarga-Interrelaci-entre-Bases-Datos_~01b51284f33dcd0660/	Intermediate	"Less than 1 month, Less than 30 hrs/week"	Data_science	33 minutes ago	"Se desea desarrollar un entorno de interconexiones entre Bases de Datos de distintas fuentes y formatos. Esto para tener registro local histórico de todos los datos y encontrar coincidencias para almacenarlas en una sola Base de Dato.

Lo que se debe realizar es (Ver Gráfico):
Analytics Pagina Web: Se debe configurar en nuestra cuenta el dominio principal y los subdominios en Google Analytics 4 (GA4) de manera que luego se vaya crear un método automático de migración de Datos de GA4 a una Base de Datos Local (Probablemente en PostgreSQL).
Api Graph de Facebook: Configura la fan page de la empresa y crear un método automático de migración de Datos de la Api a una Base de Datos Local (Probablemente en MongoBD).
Linkedin: Configurar la página de la empresa y crear un método automático de migración de Datos de la Api a una Base de Datos Local (Probablemente en MongoBD).
Página Web: se debe crear un método automático de migración de Datos de la Base de datos de la página web que se encuentra en Firebase a una Base de Datos Local (Probablemente en MongoBD).
Una vez almacenados los datos localmente, se deben crear reportes donde se tenga la relación entre las distintas Base de Datos y sus Distintos formatos (SQL, NO SQL), para ellos se plante usar Pentaho (salvo que se sugiera otra mejor herramienta o desarrollo)"	https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626730153426944	Data Extraction	Data Extraction	https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626736444882944	ETL															Less than 5	Payment unverified		1	0	Bolivia	2	4		0	Hourly		$8.00-$25.00	$8.00 	$25.00 
Linear regression with Matlab	https://www.upwork.com/jobs/Linear-regression-with-Matlab_~0190795c62271f4005/	Intermediate		Data_science	35 minutes ago	Linear regression with a possible GUI. I already did most part of the job.	https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626729515892736	Data Analysis	Data Analysis	https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626756875337728	MATLAB	https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626782833885184	Statistics													5 to 10	Payment unverified		1	0	Germany	2	4		0	Fixed-price	$80 		0	
Culture Survey data analysis and theme extraction	https://www.upwork.com/jobs/Culture-Survey-span-data-span-analysis-and-theme-extraction_~01dd3ab83cb2bef782/	Intermediate	"Less than 1 month, Less than 30 hrs/week"	Data_science	37 minutes ago	I have 3 sets of data with ~60 responses each that need to be bucketed by redundancy and then have themes applied to those buckets.  Attention to detail is a must and quick turn around preferred.	https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626729515892736	Data Analysis	data	https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626783865683968	SurveyMonkey	https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626782833885184	Statistics	https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626756485267456	Market Research											Less than 5	Payment verified		1	10000	United States	2	4	4.91954999	185	Hourly		$45.00-$73.00	$45.00 	$73.00 
Integrate Bank Balance and Transaction Data into Google Bigquery	https://www.upwork.com/jobs/Integrate-Bank-Balance-and-Transaction-span-Data-span-into-Google-Bigquery_~0152554e727ca30fda/	Intermediate	"Less than 1 month, Less than 30 hrs/week"	Data_science	38 minutes ago	"I'm looking for someone to build a solution to automatically ingest/sync bank transaction and bank balance data for various checking and credit card accounts from the two banks we use and import /make available as tables in Google Bigquery for further processing and analysis. 

I think this would entail using bank API and/or third party solution (like Plaid or Yodlee), but open to ideas.

Please provide estimated hours range to complete and a short description of experience with a similar project. Ideally looking to get this completed no later than Saturday this week."	https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626719441174528	BigQuery	Data	https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1110580482322976768	API	https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626742031695872	Google Cloud Platform	https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1110580563717640192	ETL Pipeline											Less than 5	Payment verified		1	10000	United States	2	4	4.94778743	5	Hourly		$10.00-$60.00	$10.00 	$60.00 
Create a face model file for stable diffusion	https://www.upwork.com/jobs/Create-face-model-file-for-stable-diffusion_~01322726589c80a90e/	Intermediate		Data_science	44 minutes ago	"For this job i will provide you with photo and you will need to create a well usable model to use with stable diffusion. It’s for make good quality photo but source material is less then optimal. Some good photo but not enough angle and other are from webcam, etc. 

You can ask to see the source first to tell. All my try gived unreliable result as background alway popup in result."	https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1253342873492533248	Deep Learning Modeling		https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1253342887048523776	Model Optimization	https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1253342887082078208	Model Tuning	https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626730904207360	Deep Learning	https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=996364628025274386	Python									Less than 5	Payment verified		1	20000	Canada	2	4	4.99765997	37	Fixed-price	$20 		0	
Scrape Data from our Google Maps into CSV Excel	https://www.upwork.com/jobs/Scrape-span-Data-span-from-our-Google-Maps-into-CSV-Excel_~017bc84f197660407e/	Intermediate	"Less than 1 month, Less than 30 hrs/week"	Data_science	50 minutes ago	"We have a list of businesses with contact names and phone numbers on google maps.

We want them to be scraped and inputed into CVS format.
We have thousands of leads to be imported into excel"	https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626730405085184	Data Scraping	Data	https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626730153426944	Data Extraction															50+	Payment verified		1	200	Canada	2	4	5	1	Hourly		$8.00-$25.00	$8.00 	$25.00 
AI enabled Chat Interface	https://www.upwork.com/jobs/enabled-Chat-Interface_~0138abb5907a59503e/	Intermediate		Data_science	55 minutes ago	"Looking to develop a Chat-GPT style UI, which will give results to questions based on an Excel spreadsheet.

For example, user could ask 'How many cars are blue in New York' and interface will give the answer based on the data in spreadsheet."	https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1253342869935763456	Chatbot	data	https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626716094119936	Artificial Intelligence	https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=996364628025274386	Python	https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626755474440192	Machine Learning	https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1623716864178130944	ChatGPT	https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626758615973888	Microsoft Excel							20 to 50	Payment verified		1	2000	Australia	4	8	4.975	3	Fixed-price	$500 		0	
Programmer and expert training AI models (tensorflow) for developing browser-based software.	https://www.upwork.com/jobs/Programmer-and-expert-training-models-tensorflow-for-developing-browser-based-software_~01e3f5c89d315af3f7/	Expert		Data_science	56 minutes ago	"Programmer and expert training AI models (tensorflow or opencv) for browser-based software development. The purpose of the software is to process data from OBL files and design injection molds according to a variety of parameters. Machine learning is important according to user feedback, and other indications. Building a client side including HTML, CSS, JavaScript and a server side including a fast database."	https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1253342885165281280	Machine Learning Model	data	https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626755474440192	Machine Learning	https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=996364628025274386	Python	https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626716094119936	Artificial Intelligence	https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626785698594816	TensorFlow	https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626716102508544	Artificial Neural Network							Less than 5	Payment verified		1	100	Israel	4	8	5	1	Fixed-price	$500 		0	
Data mining / scraping.	https://www.upwork.com/jobs/span-Data-span-mining-scraping_~0146bf2741d6c2f758/	Intermediate		Data_science	56 minutes ago	"We are a new cleaning service business in FL

We are looking to Pay $20 for every 500 entries scraped.

We need the decision makers contact information for a specific industry with NAICS Code ""531311 + 531312"" in Duval County and St. Johns County. (Zip Code list links below)


Data Requirements:
Business/Company name:
Business/Company address:
Business/Company Phone #:
Decision Makers Job Title:
Decision Makers Name:
Decision Makers Email:
Decision Makers Phone #:


Categories:
531311 Apartment managers' offices
531311 Condominium managers' offices, residential
531311 Cooperative apartment managers' offices
531311 Managers' offices, residential condominium
531311 Managers' offices, residential real estate
531311 Managing cooperative apartments
531311 Managing residential condominiums
531311 Managing residential real estate
531311 Property managers' offices, residential real estate
531311 Property managing, residential real estate
531311 Real estate property managers' offices, residential
531311 Residential property managing
531311 Residential real estate property managers' offices
531311 Resort or vacation property managers' offices
531312 Commercial property managing
531312 Commercial real estate property managers' offices
531312 Condominium managers' offices, commercial
531312 Managers' offices, commercial condominium
531312 Managers' offices, commercial real estate
531312 Managers' offices, nonresidential real estate
531312 Managing commercial condominiums
531312 Managing commercial real estate
531312 Nonresidential property managing
531312 Property managers' offices, commercial real estate
531312 Property managers' offices, nonresidential real estate
531312 Property managing, commercial real estate
531312 Property managing, nonresidential real estate
531312 Real estate property managers' offices, commercial

**We are looking for a long term offsite virtual office assistant that can generate leads.

Please answer the question 3+3=? at the top of your proposal.

Thank you.

Zip Code Links: 
Search (Duval, Florida) + (St. Johns, Florida)
https://www.unitedstateszipcodes.org/"	https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626730136649728	Data Entry	Data	https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626730405085184	Data Scraping	https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626730153426944	Data Extraction	https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626730287644672	Data Mining	https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626758615973888	Microsoft Excel	https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626773459615744	RapidMiner	https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1110580642876739584	NumPy	https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=996364628025274386	Python	https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626767461761024	pandas	10 to 15	Payment verified		1	3000	United States	2	4	5	4	Fixed-price	$20 		0	
Excel expert	https://www.upwork.com/jobs/Excel-expert_~01f1dfcb7e9bc83bb4/	Entry level	"3 to 6 months, Less than 30 hrs/week"	Data_science	58 minutes ago	Need someone who can clean my raw data in excel and analyse and present in a useful information	https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626729515892736	Data Analysis	data	https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1052162208890146823	Data Visualization	https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626758615973888	Microsoft Excel	https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626758628556800	Microsoft Excel PowerPivot											5 to 10	Payment unverified		1	0	India	4	8		0	Hourly		$10.00-$35.00	$10.00 	$35.00 
Searching for data engineer to build AWS Glue jobs	https://www.upwork.com/jobs/Searching-for-span-data-span-engineer-build-AWS-Glue-jobs_~01f4e26b6661f37da2/	Expert	"3 to 6 months, Less than 30 hrs/week"	Data_science	58 minutes ago	"Design, develop, deliver, innovate and manage data technology solutions in the cloud

Building data pipelines and data warehouse solutions to meet business requirements

Loading disparate data sets and performing pre-processing services

Leveraging CI-CD and agile processes to deliver solutions

Build, train and develop depth and skill of technology staff on data resource management

Hands on programing experience in any one or more programing languages like Java, Scala or Python

Good experience with Distributed systems like Hadoop, HDFs and No SQL databases

Experience in Spark, Hive or Presto

Experience with AWS cloud services: EC2, EMR, Athena

Experience with AWS S3, Dynamo DB, RDS

Hands on experience with AWS Lambdas

Designing and developing dashboards using Splunk

Competent in design/implementation for reliability, availability, scalability and performance

Deep problem-solving skills to perform root cause analysis on internal and external data and processes to answer specific business questions and identify opportunities for improvement"	https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1270387294226071552	AWS Glue	data	https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=996364628012691471	Amazon Web Services	https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626718476484608	AWS Lambda	https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=996364628000108548	Apache Spark	https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626712239554560	Amazon S3									Less than 5	Payment unverified		1	0	United States	4	8		0	Hourly		$5.00-$10.00	$5.00 	$10.00 
Excel Design Expertise Needed	https://www.upwork.com/jobs/Excel-Design-Expertise-Needed_~015de7172ebec91d92/	Intermediate	"Less than 1 month, Less than 30 hrs/week"	Data_science	1 hour ago	We have a large amount of information stored in an Excel document.  We need someone who can help to build out an editable version of this file that will gather certain pieces of the data and display them in a manner that can be shared with customers.	https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1052162208890146823	Data Visualization	data	https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626758615973888	Microsoft Excel															10 to 15	Payment unverified		1	0	United States	1	2		0	Hourly		$20.00-$50.00	$20.00 	$50.00 
"Python developer with experience in ML, DL and Pytorch"	https://www.upwork.com/jobs/Python-developer-with-experience-and-Pytorch_~01efcaaf3342b3045a/	Intermediate		Data_science	1 hour ago	"I want to customize the code from https://github.com/astra-vision/MonoScene.git.

If you can handle it, please apply.

Thanks
Robins"	https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=996364628025274386	Python		https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626772218101760	PyTorch	https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626730904207360	Deep Learning	https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626785698594816	TensorFlow	https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626755474440192	Machine Learning									Less than 5	Payment verified		1	1000	United States	4	8	5	5	Fixed-price	$500 		0	
Urgent! Train a simple PyTorch Image Classifier (Dataset attached)	https://www.upwork.com/jobs/Urgent-Train-simple-PyTorch-Image-Classifier-Dataset-attached_~01b0a661dd6ae0a886/	Entry level		Data_science	1 hour ago	"Train a Simple Efficient Image Classifier for binary classification. 

This is a very simple task. This has to be done in python. 

Dataset is attached with this job post."	https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626772218101760	PyTorch		https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1110580640142053376	Neural Network	https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=996364628025274386	Python	https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626755474440192	Machine Learning											5 to 10	Payment verified		1	60	Pakistan	2	4	4.985549133	7	Fixed-price	$5 		0	
